file_id,activity_id,sport,start_time,total_duration_seconds,total_distance_meters,total_calories,max_speed_ms,notes,file_path
7t_LzI_WVbvL,"
      2022-11-05T01:17:16.553Z
",Running,NA,1205.978,3271.533301893506,187,2.922922055137757,NA,/cloud/project/running_data//7t_LzI_WVbvL.xml
8-CkJSa6zKT-,"
      2023-10-25T16:04:28.079Z
",Running,NA,1560.009,4490.524760142902,265,4.066370971778575,NA,/cloud/project/running_data//8-CkJSa6zKT-.xml
8isrUImUscAZ,"
      2023-05-26T22:45:35.570Z
",Running,NA,420.95,931.56720362464,50,2.3852706035957936,NA,/cloud/project/running_data//8isrUImUscAZ.xml
8usVUUaWixeo,"
      2023-12-09T15:06:20.568Z
",Running,NA,900.002,2508.5279664818618,144,3.0285508958788845,NA,/cloud/project/running_data//8usVUUaWixeo.xml
95fVCwM3mbwS,"
      2025-07-08T12:40:52.341Z
",Running,NA,1500.481,3638.287837556566,202,3.658201702982791,NA,/cloud/project/running_data//95fVCwM3mbwS.xml
9hFSkT2SQESI,"
      2025-01-03T20:27:26.526Z
",Running,NA,645.33,1401.074585983704,76,2.6903008556102668,NA,/cloud/project/running_data//9hFSkT2SQESI.xml
9kGUW_OIJBev,"
      2023-05-15T13:12:42.594Z
",Running,NA,600.012,1249.5823403147515,65,2.978320989532252,NA,/cloud/project/running_data//9kGUW_OIJBev.xml
9y1mDtUC0C57,"
      2023-10-15T14:28:42.635Z
",Running,NA,2100.992,5577.739378534955,315,3.790704624137977,NA,/cloud/project/running_data//9y1mDtUC0C57.xml
9ygdLMIvDCGF,"
      2023-10-22T15:17:21.996Z
",Running,NA,623.148,1724.3382401901763,98,3.399542673183969,NA,/cloud/project/running_data//9ygdLMIvDCGF.xml
A4dukz7METu-,"
      2025-03-22T15:58:12.879Z
",Running,NA,360.969,851.3660212096295,46,2.7504471354757065,NA,/cloud/project/running_data//A4dukz7METu-.xml
ahX1xnuju0ME,"
      2023-10-09T12:02:10.813Z
",Running,NA,1882.602,5003.4994650629815,282,3.276394933721628,NA,/cloud/project/running_data//ahX1xnuju0ME.xml
aIKVC3qq6xdv,"
      2023-11-06T12:01:40.339Z
",Running,NA,2308.757,5931.945728209565,334,3.2889402595420743,NA,/cloud/project/running_data//aIKVC3qq6xdv.xml
AoZU82sCJhc8,"
      2023-09-12T10:44:47.008Z
",Running,NA,1328.011,3196.103358333467,175,2.8567481112761093,NA,/cloud/project/running_data//AoZU82sCJhc8.xml
AZI76kBBdPzy,"
      2023-09-16T16:05:12.996Z
",undefined,NA,381.056,0,0,0,NA,/cloud/project/running_data//AZI76kBBdPzy.xml
B2wAMt7UKKMu,"
      2023-10-13T16:03:46.446Z
",Running,NA,840.738,2581.2415367469644,155,3.774746507559273,NA,/cloud/project/running_data//B2wAMt7UKKMu.xml
bf7C6j62yWd7,"
      2025-06-10T17:30:21.940Z
",Running,NA,1929.914,4496.701072241408,247,2.839896868557715,NA,/cloud/project/running_data//bf7C6j62yWd7.xml
BGCSwHxEDdnd,"
      2023-09-20T10:47:02.785Z
",Running,NA,900.016,2467.444857367547,148,4.574399816035148,NA,/cloud/project/running_data//BGCSwHxEDdnd.xml
